 vbep            v(Vbep)         vbep            v(Vben)         yes             currtemp       
 4.89316432e-01  4.89316432e-01  4.89316432e-01  2.06537027e-01  1.00000000e+00 -2.00000000e+01 
 4.86699573e-01  4.86699573e-01  4.86699573e-01  2.06629806e-01  1.00000000e+00 -1.90000000e+01 
 4.84028116e-01  4.84028116e-01  4.84028116e-01  2.06756402e-01  1.00000000e+00 -1.80000000e+01 
 4.81387503e-01  4.81387503e-01  4.81387503e-01  2.06788825e-01  1.00000000e+00 -1.70000000e+01 
 4.78766397e-01  4.78766397e-01  4.78766397e-01  2.06330113e-01  1.00000000e+00 -1.60000000e+01 
 4.76084861e-01  4.76084861e-01  4.76084861e-01  2.06477310e-01  1.00000000e+00 -1.50000000e+01 
 4.73459158e-01  4.73459158e-01  4.73459158e-01  2.06615051e-01  1.00000000e+00 -1.40000000e+01 
 4.70798829e-01  4.70798829e-01  4.70798829e-01  2.06670225e-01  1.00000000e+00 -1.30000000e+01 
 4.68126816e-01  4.68126816e-01  4.68126816e-01  2.06116263e-01  1.00000000e+00 -1.20000000e+01 
 4.65485623e-01  4.65485623e-01  4.65485623e-01  2.06310619e-01  1.00000000e+00 -1.10000000e+01 
 4.62756635e-01  4.62756635e-01  4.62756635e-01  2.06438396e-01  1.00000000e+00 -1.00000000e+01 
 4.60150340e-01  4.60150340e-01  4.60150340e-01  2.06677577e-01  1.00000000e+00 -9.00000000e+00 
 4.57455086e-01  4.57455086e-01  4.57455086e-01  2.06183669e-01  1.00000000e+00 -8.00000000e+00 
 4.54786412e-01  4.54786412e-01  4.54786412e-01  2.06451631e-01  1.00000000e+00 -7.00000000e+00 
 4.52081298e-01  4.52081298e-01  4.52081298e-01  2.06073661e-01  1.00000000e+00 -6.00000000e+00 
 4.49434018e-01  4.49434018e-01  4.49434018e-01  2.06355666e-01  1.00000000e+00 -5.00000000e+00 
 4.46738389e-01  4.46738389e-01  4.46738389e-01  2.05996481e-01  1.00000000e+00 -4.00000000e+00 
 4.44122849e-01  4.44122849e-01  4.44122849e-01  2.06249046e-01  1.00000000e+00 -3.00000000e+00 
 4.41406998e-01  4.41406998e-01  4.41406998e-01  2.05957945e-01  1.00000000e+00 -2.00000000e+00 
 4.38718282e-01  4.38718282e-01  4.38718282e-01  2.06327298e-01  1.00000000e+00 -1.00000000e+00 
 4.36065722e-01  4.36065722e-01  4.36065722e-01  2.06041637e-01  1.00000000e+00  0.00000000e+00 
 4.33336744e-01  4.33336744e-01  4.33336744e-01  2.05815730e-01  1.00000000e+00  1.00000000e+00 
 3.46709529e-01  3.46709529e-01  3.46709529e-01  9.66463998e-02  1.00000000e+00  3.00000000e+00 
 3.45891651e-01  3.45891651e-01  3.45891651e-01  9.67173438e-02  1.00000000e+00  4.00000000e+00 
 3.44918233e-01  3.44918233e-01  3.44918233e-01  9.68020304e-02  1.00000000e+00  5.00000000e+00 
 3.43939972e-01  3.43939972e-01  3.43939972e-01  9.68757218e-02  1.00000000e+00  6.00000000e+00 
 3.42907195e-01  3.42907195e-01  3.42907195e-01  9.69479273e-02  1.00000000e+00  7.00000000e+00 
 3.41859566e-01  3.41859566e-01  3.41859566e-01  9.70256577e-02  1.00000000e+00  8.00000000e+00 
 3.40792243e-01  3.40792243e-01  3.40792243e-01  9.70844872e-02  1.00000000e+00  9.00000000e+00 
 3.39627256e-01  3.39627256e-01  3.39627256e-01  9.71832248e-02  1.00000000e+00  1.00000000e+01 
 3.38419641e-01  3.38419641e-01  3.38419641e-01  9.72006048e-02  1.00000000e+00  1.10000000e+01 
 3.37271577e-01  3.37271577e-01  3.37271577e-01  9.72467112e-02  1.00000000e+00  1.20000000e+01 
