 vbep            v(Vbep)         vbep            v(Vben)         yes             currtemp       
 8.61771511e-01  8.61771511e-01  8.61771511e-01  7.59189045e-01  1.00000000e+00 -2.00000000e+01 
 8.60402145e-01  8.60402145e-01  8.60402145e-01  7.57386450e-01  1.00000000e+00 -1.90000000e+01 
 8.59031080e-01  8.59031080e-01  8.59031080e-01  7.55581982e-01  1.00000000e+00 -1.80000000e+01 
 8.57658329e-01  8.57658329e-01  8.57658329e-01  7.53775648e-01  1.00000000e+00 -1.70000000e+01 
 8.56283919e-01  8.56283919e-01  8.56283919e-01  7.51967476e-01  1.00000000e+00 -1.60000000e+01 
 8.54907892e-01  8.54907892e-01  8.54907892e-01  7.50157505e-01  1.00000000e+00 -1.50000000e+01 
 8.53530271e-01  8.53530271e-01  8.53530271e-01  7.48345754e-01  1.00000000e+00 -1.40000000e+01 
 8.52151080e-01  8.52151080e-01  8.52151080e-01  7.46532246e-01  1.00000000e+00 -1.30000000e+01 
 8.50770346e-01  8.50770346e-01  8.50770346e-01  7.44717007e-01  1.00000000e+00 -1.20000000e+01 
 8.49388107e-01  8.49388107e-01  8.49388107e-01  7.42900069e-01  1.00000000e+00 -1.10000000e+01 
 8.48004350e-01  8.48004350e-01  8.48004350e-01  7.41081421e-01  1.00000000e+00 -1.00000000e+01 
 8.46619137e-01  8.46619137e-01  8.46619137e-01  7.39261123e-01  1.00000000e+00 -9.00000000e+00 
 8.45232466e-01  8.45232466e-01  8.45232466e-01  7.37439168e-01  1.00000000e+00 -8.00000000e+00 
 8.43844348e-01  8.43844348e-01  8.43844348e-01  7.35615571e-01  1.00000000e+00 -7.00000000e+00 
 8.42454821e-01  8.42454821e-01  8.42454821e-01  7.33790364e-01  1.00000000e+00 -6.00000000e+00 
 8.41063879e-01  8.41063879e-01  8.41063879e-01  7.31963544e-01  1.00000000e+00 -5.00000000e+00 
 8.39671567e-01  8.39671567e-01  8.39671567e-01  7.30135151e-01  1.00000000e+00 -4.00000000e+00 
 8.38277869e-01  8.38277869e-01  8.38277869e-01  7.28305172e-01  1.00000000e+00 -3.00000000e+00 
 8.36882827e-01  8.36882827e-01  8.36882827e-01  7.26473644e-01  1.00000000e+00 -2.00000000e+00 
 8.35486432e-01  8.35486432e-01  8.35486432e-01  7.24640560e-01  1.00000000e+00 -1.00000000e+00 
 8.34088711e-01  8.34088711e-01  8.34088711e-01  7.22805946e-01  1.00000000e+00  0.00000000e+00 
 8.32689667e-01  8.32689667e-01  8.32689667e-01  7.20969804e-01  1.00000000e+00  1.00000000e+00 
 8.31289317e-01  8.31289317e-01  8.31289317e-01  7.19132152e-01  1.00000000e+00  2.00000000e+00 
 8.29887681e-01  8.29887681e-01  8.29887681e-01  7.17293004e-01  1.00000000e+00  3.00000000e+00 
 8.28484774e-01  8.28484774e-01  8.28484774e-01  7.15452378e-01  1.00000000e+00  4.00000000e+00 
 8.27080593e-01  8.27080593e-01  8.27080593e-01  7.13610271e-01  1.00000000e+00  5.00000000e+00 
 8.25675167e-01  8.25675167e-01  8.25675167e-01  7.11766706e-01  1.00000000e+00  6.00000000e+00 
 8.24268482e-01  8.24268482e-01  8.24268482e-01  7.09921677e-01  1.00000000e+00  7.00000000e+00 
 8.22860581e-01  8.22860581e-01  8.22860581e-01  7.08075218e-01  1.00000000e+00  8.00000000e+00 
 8.21451454e-01  8.21451454e-01  8.21451454e-01  7.06227324e-01  1.00000000e+00  9.00000000e+00 
 8.20041132e-01  8.20041132e-01  8.20041132e-01  7.04378019e-01  1.00000000e+00  1.00000000e+01 
 8.18629602e-01  8.18629602e-01  8.18629602e-01  7.02527297e-01  1.00000000e+00  1.10000000e+01 
 8.17216901e-01  8.17216901e-01  8.17216901e-01  7.00675187e-01  1.00000000e+00  1.20000000e+01 
 8.15803018e-01  8.15803018e-01  8.15803018e-01  6.98821682e-01  1.00000000e+00  1.30000000e+01 
 8.14387992e-01  8.14387992e-01  8.14387992e-01  6.96966817e-01  1.00000000e+00  1.40000000e+01 
 8.12971815e-01  8.12971815e-01  8.12971815e-01  6.95110582e-01  1.00000000e+00  1.50000000e+01 
 8.11554502e-01  8.11554502e-01  8.11554502e-01  6.93252995e-01  1.00000000e+00  1.60000000e+01 
 8.10136074e-01  8.10136074e-01  8.10136074e-01  6.91394072e-01  1.00000000e+00  1.70000000e+01 
 8.08716530e-01  8.08716530e-01  8.08716530e-01  6.89533814e-01  1.00000000e+00  1.80000000e+01 
 8.07295882e-01  8.07295882e-01  8.07295882e-01  6.87672232e-01  1.00000000e+00  1.90000000e+01 
 8.05874156e-01  8.05874156e-01  8.05874156e-01  6.85809348e-01  1.00000000e+00  2.00000000e+01 
 8.04451357e-01  8.04451357e-01  8.04451357e-01  6.83945167e-01  1.00000000e+00  2.10000000e+01 
 8.03027498e-01  8.03027498e-01  8.03027498e-01  6.82079701e-01  1.00000000e+00  2.20000000e+01 
 8.01602603e-01  8.01602603e-01  8.01602603e-01  6.80212970e-01  1.00000000e+00  2.30000000e+01 
 8.00176651e-01  8.00176651e-01  8.00176651e-01  6.78344957e-01  1.00000000e+00  2.40000000e+01 
 7.98749683e-01  7.98749683e-01  7.98749683e-01  6.76475698e-01  1.00000000e+00  2.50000000e+01 
 7.97321711e-01  7.97321711e-01  7.97321711e-01  6.74605204e-01  1.00000000e+00  2.60000000e+01 
 7.95892723e-01  7.95892723e-01  7.95892723e-01  6.72733464e-01  1.00000000e+00  2.70000000e+01 
 7.94462774e-01  7.94462774e-01  7.94462774e-01  6.70860524e-01  1.00000000e+00  2.80000000e+01 
 7.93031833e-01  7.93031833e-01  7.93031833e-01  6.68986362e-01  1.00000000e+00  2.90000000e+01 
 7.91599938e-01  7.91599938e-01  7.91599938e-01  6.67111006e-01  1.00000000e+00  3.00000000e+01 
 7.90167094e-01  7.90167094e-01  7.90167094e-01  6.65234463e-01  1.00000000e+00  3.10000000e+01 
 7.88733321e-01  7.88733321e-01  7.88733321e-01  6.63356749e-01  1.00000000e+00  3.20000000e+01 
 7.87298611e-01  7.87298611e-01  7.87298611e-01  6.61477859e-01  1.00000000e+00  3.30000000e+01 
 7.85862999e-01  7.85862999e-01  7.85862999e-01  6.59597820e-01  1.00000000e+00  3.40000000e+01 
 7.84426498e-01  7.84426498e-01  7.84426498e-01  6.57716646e-01  1.00000000e+00  3.50000000e+01 
 7.82989094e-01  7.82989094e-01  7.82989094e-01  6.55834324e-01  1.00000000e+00  3.60000000e+01 
 7.81550840e-01  7.81550840e-01  7.81550840e-01  6.53950899e-01  1.00000000e+00  3.70000000e+01 
 7.80111725e-01  7.80111725e-01  7.80111725e-01  6.52066361e-01  1.00000000e+00  3.80000000e+01 
 7.78671761e-01  7.78671761e-01  7.78671761e-01  6.50180721e-01  1.00000000e+00  3.90000000e+01 
 7.77230979e-01  7.77230979e-01  7.77230979e-01  6.48294003e-01  1.00000000e+00  4.00000000e+01 
 7.75789385e-01  7.75789385e-01  7.75789385e-01  6.46406215e-01  1.00000000e+00  4.10000000e+01 
 7.74346953e-01  7.74346953e-01  7.74346953e-01  6.44517333e-01  1.00000000e+00  4.20000000e+01 
 7.72903754e-01  7.72903754e-01  7.72903754e-01  6.42627417e-01  1.00000000e+00  4.30000000e+01 
 7.71459786e-01  7.71459786e-01  7.71459786e-01  6.40736464e-01  1.00000000e+00  4.40000000e+01 
 7.70015046e-01  7.70015046e-01  7.70015046e-01  6.38844473e-01  1.00000000e+00  4.50000000e+01 
 7.68569566e-01  7.68569566e-01  7.68569566e-01  6.36951469e-01  1.00000000e+00  4.60000000e+01 
 7.67123343e-01  7.67123343e-01  7.67123343e-01  6.35057450e-01  1.00000000e+00  4.70000000e+01 
 7.65676406e-01  7.65676406e-01  7.65676406e-01  6.33162439e-01  1.00000000e+00  4.80000000e+01 
 7.64228759e-01  7.64228759e-01  7.64228759e-01  6.31266439e-01  1.00000000e+00  4.90000000e+01 
 7.62780417e-01  7.62780417e-01  7.62780417e-01  6.29369463e-01  1.00000000e+00  5.00000000e+01 
 7.61331406e-01  7.61331406e-01  7.61331406e-01  6.27471531e-01  1.00000000e+00  5.10000000e+01 
 7.59881737e-01  7.59881737e-01  7.59881737e-01  6.25572651e-01  1.00000000e+00  5.20000000e+01 
 7.58431412e-01  7.58431412e-01  7.58431412e-01  6.23672826e-01  1.00000000e+00  5.30000000e+01 
 7.56980455e-01  7.56980455e-01  7.56980455e-01  6.21772075e-01  1.00000000e+00  5.40000000e+01 
 7.55528885e-01  7.55528885e-01  7.55528885e-01  6.19870410e-01  1.00000000e+00  5.50000000e+01 
 7.54076710e-01  7.54076710e-01  7.54076710e-01  6.17967839e-01  1.00000000e+00  5.60000000e+01 
 7.52623939e-01  7.52623939e-01  7.52623939e-01  6.16064369e-01  1.00000000e+00  5.70000000e+01 
 7.51170587e-01  7.51170587e-01  7.51170587e-01  6.14160012e-01  1.00000000e+00  5.80000000e+01 
 7.49716687e-01  7.49716687e-01  7.49716687e-01  6.12254791e-01  1.00000000e+00  5.90000000e+01 
 7.48262258e-01  7.48262258e-01  7.48262258e-01  6.10348724e-01  1.00000000e+00  6.00000000e+01 
 7.46807274e-01  7.46807274e-01  7.46807274e-01  6.08441788e-01  1.00000000e+00  6.10000000e+01 
 7.45351788e-01  7.45351788e-01  7.45351788e-01  6.06534024e-01  1.00000000e+00  6.20000000e+01 
 7.43895809e-01  7.43895809e-01  7.43895809e-01  6.04625439e-01  1.00000000e+00  6.30000000e+01 
 7.42439330e-01  7.42439330e-01  7.42439330e-01  6.02716025e-01  1.00000000e+00  6.40000000e+01 
 7.40982422e-01  7.40982422e-01  7.40982422e-01  6.00805841e-01  1.00000000e+00  6.50000000e+01 
 7.39525020e-01  7.39525020e-01  7.39525020e-01  5.98894831e-01  1.00000000e+00  6.60000000e+01 
 7.38067193e-01  7.38067193e-01  7.38067193e-01  5.96983051e-01  1.00000000e+00  6.70000000e+01 
 7.36608964e-01  7.36608964e-01  7.36608964e-01  5.95070517e-01  1.00000000e+00  6.80000000e+01 
 7.35150336e-01  7.35150336e-01  7.35150336e-01  5.93157230e-01  1.00000000e+00  6.90000000e+01 
 7.33691294e-01  7.33691294e-01  7.33691294e-01  5.91243177e-01  1.00000000e+00  7.00000000e+01 
 7.32231896e-01  7.32231896e-01  7.32231896e-01  5.89328404e-01  1.00000000e+00  7.10000000e+01 
 7.30772151e-01  7.30772151e-01  7.30772151e-01  5.87412915e-01  1.00000000e+00  7.20000000e+01 
 7.29312085e-01  7.29312085e-01  7.29312085e-01  5.85496729e-01  1.00000000e+00  7.30000000e+01 
 7.27851668e-01  7.27851668e-01  7.27851668e-01  5.83579822e-01  1.00000000e+00  7.40000000e+01 
 7.26390966e-01  7.26390966e-01  7.26390966e-01  5.81662244e-01  1.00000000e+00  7.50000000e+01 
 7.24929967e-01  7.24929967e-01  7.24929967e-01  5.79743983e-01  1.00000000e+00  7.60000000e+01 
 7.23468705e-01  7.23468705e-01  7.23468705e-01  5.77825064e-01  1.00000000e+00  7.70000000e+01 
 7.22007184e-01  7.22007184e-01  7.22007184e-01  5.75905490e-01  1.00000000e+00  7.80000000e+01 
 7.20545436e-01  7.20545436e-01  7.20545436e-01  5.73985283e-01  1.00000000e+00  7.90000000e+01 
 7.19083438e-01  7.19083438e-01  7.19083438e-01  5.72064423e-01  1.00000000e+00  8.00000000e+01 
 7.17621274e-01  7.17621274e-01  7.17621274e-01  5.70142974e-01  1.00000000e+00  8.10000000e+01 
 7.16158933e-01  7.16158933e-01  7.16158933e-01  5.68220925e-01  1.00000000e+00  8.20000000e+01 
 7.14696396e-01  7.14696396e-01  7.14696396e-01  5.66298260e-01  1.00000000e+00  8.30000000e+01 
 7.13233706e-01  7.13233706e-01  7.13233706e-01  5.64375007e-01  1.00000000e+00  8.40000000e+01 
 7.11770930e-01  7.11770930e-01  7.11770930e-01  5.62451221e-01  1.00000000e+00  8.50000000e+01 
 7.10307997e-01  7.10307997e-01  7.10307997e-01  5.60526839e-01  1.00000000e+00  8.60000000e+01 
 7.08844990e-01  7.08844990e-01  7.08844990e-01  5.58601926e-01  1.00000000e+00  8.70000000e+01 
 7.07381911e-01  7.07381911e-01  7.07381911e-01  5.56676480e-01  1.00000000e+00  8.80000000e+01 
 7.05918764e-01  7.05918764e-01  7.05918764e-01  5.54750502e-01  1.00000000e+00  8.90000000e+01 
 7.04455568e-01  7.04455568e-01  7.04455568e-01  5.52824003e-01  1.00000000e+00  9.00000000e+01 
 7.02992366e-01  7.02992366e-01  7.02992366e-01  5.50897014e-01  1.00000000e+00  9.10000000e+01 
 7.01529152e-01  7.01529152e-01  7.01529152e-01  5.48969527e-01  1.00000000e+00  9.20000000e+01 
 7.00065939e-01  7.00065939e-01  7.00065939e-01  5.47041549e-01  1.00000000e+00  9.30000000e+01 
 6.98602760e-01  6.98602760e-01  6.98602760e-01  5.45113102e-01  1.00000000e+00  9.40000000e+01 
 6.97139639e-01  6.97139639e-01  6.97139639e-01  5.43184202e-01  1.00000000e+00  9.50000000e+01 
 6.95676582e-01  6.95676582e-01  6.95676582e-01  5.41254849e-01  1.00000000e+00  9.60000000e+01 
 6.94213614e-01  6.94213614e-01  6.94213614e-01  5.39325058e-01  1.00000000e+00  9.70000000e+01 
 6.92750741e-01  6.92750741e-01  6.92750741e-01  5.37394832e-01  1.00000000e+00  9.80000000e+01 
 6.91287999e-01  6.91287999e-01  6.91287999e-01  5.35464195e-01  1.00000000e+00  9.90000000e+01 
 6.89825387e-01  6.89825387e-01  6.89825387e-01  5.33533139e-01  1.00000000e+00  1.00000000e+02 
