 vbep            v(Vbep)         vbep            v(Vben)         yes             currtemp       
 8.53562302e-01  8.53562302e-01  8.53562302e-01  7.52008456e-01  1.00000000e+00 -2.00000000e+01 
 8.51886850e-01  8.51886850e-01  8.51886850e-01  7.49938169e-01  1.00000000e+00 -1.90000000e+01 
 5.73104729e-01  5.73104729e-01  5.73104729e-01  3.52785705e-01  1.00000000e+00 -1.80000000e+01 
 5.51363669e-01  5.51363669e-01  5.51363669e-01  2.03965528e-01  1.00000000e+00 -1.70000000e+01 
 5.48742441e-01  5.48742441e-01  5.48742441e-01  2.04519053e-01  1.00000000e+00 -1.60000000e+01 
 5.46195658e-01  5.46195658e-01  5.46195658e-01  2.05043137e-01  1.00000000e+00 -1.50000000e+01 
 5.43571973e-01  5.43571973e-01  5.43571973e-01  2.05282731e-01  1.00000000e+00 -1.40000000e+01 
 5.40991666e-01  5.40991666e-01  5.40991666e-01  2.05456465e-01  1.00000000e+00 -1.30000000e+01 
 5.38430893e-01  5.38430893e-01  5.38430893e-01  2.05771592e-01  1.00000000e+00 -1.20000000e+01 
 5.35849859e-01  5.35849859e-01  5.35849859e-01  2.05227024e-01  1.00000000e+00 -1.10000000e+01 
 5.33283451e-01  5.33283451e-01  5.33283451e-01  2.05332306e-01  1.00000000e+00 -1.00000000e+01 
 5.30642291e-01  5.30642291e-01  5.30642291e-01  2.05475291e-01  1.00000000e+00 -9.00000000e+00 
 5.28083169e-01  5.28083169e-01  5.28083169e-01  2.05050189e-01  1.00000000e+00 -8.00000000e+00 
 5.25491501e-01  5.25491501e-01  5.25491501e-01  2.05275175e-01  1.00000000e+00 -7.00000000e+00 
 5.22873315e-01  5.22873315e-01  5.22873315e-01  2.05597357e-01  1.00000000e+00 -6.00000000e+00 
 5.20296816e-01  5.20296816e-01  5.20296816e-01  2.05151634e-01  1.00000000e+00 -5.00000000e+00 
 5.17664392e-01  5.17664392e-01  5.17664392e-01  2.05561499e-01  1.00000000e+00 -4.00000000e+00 
 5.15081480e-01  5.15081480e-01  5.15081480e-01  2.05168087e-01  1.00000000e+00 -3.00000000e+00 
 8.22249138e-01  8.22249138e-01  8.22249138e-01  7.13663989e-01  1.00000000e+00 -2.00000000e+00 
