 vbep            v(Vbep)         vbep            v(Vben)        
 8.31116472e-01  8.31116472e-01  8.31116472e-01  7.53948128e-01 
 8.29607549e-01  8.29607549e-01  8.29607549e-01  7.52144464e-01 
 8.28096640e-01  8.28096640e-01  8.28096640e-01  7.50338767e-01 
 8.26583755e-01  8.26583755e-01  8.26583755e-01  7.48531049e-01 
 8.25068906e-01  8.25068906e-01  8.25068906e-01  7.46721321e-01 
 8.23552104e-01  8.23552104e-01  8.23552104e-01  7.44909594e-01 
 8.22033360e-01  8.22033360e-01  8.22033360e-01  7.43095882e-01 
 8.20512686e-01  8.20512686e-01  8.20512686e-01  7.41280194e-01 
 8.18990092e-01  8.18990092e-01  8.18990092e-01  7.39462543e-01 
 8.17465591e-01  8.17465591e-01  8.17465591e-01  7.37642939e-01 
 8.15939193e-01  8.15939193e-01  8.15939193e-01  7.35821396e-01 
 8.14410910e-01  8.14410910e-01  8.14410910e-01  7.33997924e-01 
 8.12880753e-01  8.12880753e-01  8.12880753e-01  7.32172535e-01 
 8.11348733e-01  8.11348733e-01  8.11348733e-01  7.30345240e-01 
 8.09814862e-01  8.09814862e-01  8.09814862e-01  7.28516051e-01 
 8.08279150e-01  8.08279150e-01  8.08279150e-01  7.26684979e-01 
 8.06741610e-01  8.06741610e-01  8.06741610e-01  7.24852037e-01 
 8.05202253e-01  8.05202253e-01  8.05202253e-01  7.23017235e-01 
 8.03661089e-01  8.03661089e-01  8.03661089e-01  7.21180585e-01 
 8.02118132e-01  8.02118132e-01  8.02118132e-01  7.19342098e-01 
 8.00573391e-01  8.00573391e-01  8.00573391e-01  7.17501787e-01 
 7.99026878e-01  7.99026878e-01  7.99026878e-01  7.15659662e-01 
 7.97478606e-01  7.97478606e-01  7.97478606e-01  7.13815735e-01 
 7.95928584e-01  7.95928584e-01  7.95928584e-01  7.11970018e-01 
 7.94376826e-01  7.94376826e-01  7.94376826e-01  7.10122522e-01 
 7.92823342e-01  7.92823342e-01  7.92823342e-01  7.08273258e-01 
 7.91268143e-01  7.91268143e-01  7.91268143e-01  7.06422239e-01 
 7.89711242e-01  7.89711242e-01  7.89711242e-01  7.04569475e-01 
 7.88152650e-01  7.88152650e-01  7.88152650e-01  7.02714978e-01 
 7.86592379e-01  7.86592379e-01  7.86592379e-01  7.00858760e-01 
 7.85030440e-01  7.85030440e-01  7.85030440e-01  6.99000832e-01 
 7.83466845e-01  7.83466845e-01  7.83466845e-01  6.97141206e-01 
 7.81901605e-01  7.81901605e-01  7.81901605e-01  6.95279892e-01 
 7.80334732e-01  7.80334732e-01  7.80334732e-01  6.93416903e-01 
 7.78766238e-01  7.78766238e-01  7.78766238e-01  6.91552250e-01 
 7.77196135e-01  7.77196135e-01  7.77196135e-01  6.89685944e-01 
 7.75624434e-01  7.75624434e-01  7.75624434e-01  6.87817997e-01 
 7.74051148e-01  7.74051148e-01  7.74051148e-01  6.85948421e-01 
 7.72476287e-01  7.72476287e-01  7.72476287e-01  6.84077226e-01 
 7.70899864e-01  7.70899864e-01  7.70899864e-01  6.82204425e-01 
 7.69321890e-01  7.69321890e-01  7.69321890e-01  6.80330028e-01 
 7.67742379e-01  7.67742379e-01  7.67742379e-01  6.78454047e-01 
 7.66161340e-01  7.66161340e-01  7.66161340e-01  6.76576495e-01 
 7.64578787e-01  7.64578787e-01  7.64578787e-01  6.74697381e-01 
 7.62994731e-01  7.62994731e-01  7.62994731e-01  6.72816718e-01 
 7.61409185e-01  7.61409185e-01  7.61409185e-01  6.70934516e-01 
 7.59822160e-01  7.59822160e-01  7.59822160e-01  6.69050789e-01 
 7.58233668e-01  7.58233668e-01  7.58233668e-01  6.67165546e-01 
 7.56643722e-01  7.56643722e-01  7.56643722e-01  6.65278799e-01 
 7.55052334e-01  7.55052334e-01  7.55052334e-01  6.63390561e-01 
 7.53459515e-01  7.53459515e-01  7.53459515e-01  6.61500841e-01 
 7.51865279e-01  7.51865279e-01  7.51865279e-01  6.59609652e-01 
 7.50269636e-01  7.50269636e-01  7.50269636e-01  6.57717006e-01 
 7.48672600e-01  7.48672600e-01  7.48672600e-01  6.55822913e-01 
 7.47074183e-01  7.47074183e-01  7.47074183e-01  6.53927384e-01 
 7.45474397e-01  7.45474397e-01  7.45474397e-01  6.52030433e-01 
 7.43873254e-01  7.43873254e-01  7.43873254e-01  6.50132069e-01 
 7.42270768e-01  7.42270768e-01  7.42270768e-01  6.48232304e-01 
 7.40666949e-01  7.40666949e-01  7.40666949e-01  6.46331151e-01 
 7.39061812e-01  7.39061812e-01  7.39061812e-01  6.44428619e-01 
 7.37455368e-01  7.37455368e-01  7.37455368e-01  6.42524721e-01 
 7.35847629e-01  7.35847629e-01  7.35847629e-01  6.40619469e-01 
 7.34238610e-01  7.34238610e-01  7.34238610e-01  6.38712872e-01 
